ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,0,0,1.2,1.20338983050847,NaN,97,NaN,97,2019-11-04,0,2,17:54:16.530,0.508474576271186,1,109,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,73,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:54:10.114,1,97,1,PAV,24,0
3,4,0,0,1.2,1.20338983050847,NaN,98,NaN,98,2019-11-04,0,2,17:54:29.313,0.508474576271186,1,110.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,74,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:54:22.796,1,98,1,PAV,24,0
3,4,0,0,1.2,1.20338983050847,NaN,99,NaN,99,2019-11-04,0,2,17:54:41.083,0.508474576271186,1,112.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,75,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:54:34.483,1,99,1,PAV,24,0
3,4,0,0,1.2,1.20338983050847,NaN,100,NaN,100,2019-11-04,0,2,17:54:53.564,0.508474576271186,1,112.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,2,1.50847457627119,3,75,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:54:47.413,1,100,1,PAV,25,0
3,4,0,0,1.2,1.20338983050847,NaN,101,NaN,101,2019-11-04,0,2,17:55:06.346,0.508474576271186,1,113.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,76,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:54:59.963,1,101,1,PAV,25,0
3,4,0,0,1.2,1.20338983050847,NaN,102,NaN,102,2019-11-04,0,2,17:55:18.030,0.508474576271186,1,115,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,77,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:55:11.529,1,102,1,PAV,25,0
3,4,0,0,1.2,1.20338983050847,NaN,103,NaN,103,2019-11-04,0,2,17:55:29.763,0.508474576271186,1,117,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,78,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:55:23.196,1,103,1,PAV,25,0
3,4,0,0,1.2,1.20338983050847,NaN,104,NaN,104,2019-11-04,0,2,17:55:41.163,0.508474576271186,1,117,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1.5,1.50847457627119,2,78,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:55:34.996,1,104,1,PAV,26,0
3,4,0,0,1.2,1.20338983050847,NaN,105,NaN,105,2019-11-04,0,2,17:55:52.746,0.508474576271186,1,118,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,79,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:55:46.379,1,105,1,PAV,26,0
3,4,0,0,1.2,1.20338983050847,NaN,106,NaN,106,2019-11-04,0,2,17:56:04.513,0.508474576271186,1,120,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,80,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:55:57.912,1,106,1,PAV,26,0
3,4,0,0,1.2,1.20338983050847,NaN,107,NaN,107,2019-11-04,0,2,17:56:16.233,0.508474576271186,1,121.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,81,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:56:09.679,1,107,1,PAV,26,0
3,4,0,0,1.2,1.20338983050847,NaN,108,NaN,108,2019-11-04,0,2,17:56:27.731,0.508474576271186,1,121.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1,1.50847457627119,1,81,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:56:21.465,1,108,1,PAV,27,0
3,4,0,0,1.2,1.20338983050847,NaN,109,NaN,109,2019-11-04,0,2,17:56:39.401,0.508474576271186,1,122.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,82,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:56:32.979,1,109,1,PAV,27,0
3,4,0,0,1.2,1.20338983050847,NaN,110,NaN,110,2019-11-04,0,2,17:56:51.195,0.508474576271186,1,124.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,83,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:56:44.562,1,110,1,PAV,27,0
3,4,0,0,1.2,1.20338983050847,NaN,111,NaN,111,2019-11-04,0,2,17:57:02.929,0.508474576271186,1,126,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,84,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:56:56.462,1,111,1,PAV,27,0
3,4,0,0,1.2,1.20338983050847,NaN,112,NaN,112,2019-11-04,0,2,17:57:14.346,0.508474576271186,1,126,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1,1.50847457627119,1,84,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:57:08.146,1,112,1,PAV,28,0
3,4,0,0,1.2,1.20338983050847,NaN,113,NaN,113,2019-11-04,0,2,17:57:27.270,0.508474576271186,1,127.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,85,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:57:20.799,1,113,1,PAV,28,0
3,4,0,0,1.2,1.20338983050847,NaN,114,NaN,114,2019-11-04,0,2,17:57:38.981,0.508474576271186,1,129.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,86,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:57:32.412,1,114,1,PAV,28,0
3,4,0,0,1.2,1.20338983050847,NaN,115,NaN,115,2019-11-04,0,2,17:57:51.812,0.508474576271186,1,131,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,87,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:57:45.295,1,115,1,PAV,28,0
3,4,0,0,1.2,1.20338983050847,NaN,116,NaN,116,2019-11-04,0,2,17:58:03.314,0.508474576271186,1,131,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,2,1.50847457627119,3,87,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:57:57.081,1,116,1,PAV,29,0
3,4,0,0,1.2,1.20338983050847,NaN,117,NaN,117,2019-11-04,0,2,17:58:14.930,0.508474576271186,1,132,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,88,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:58:08.564,1,117,1,PAV,29,0
3,4,0,0,1.2,1.20338983050847,NaN,118,NaN,118,2019-11-04,0,2,17:58:26.805,0.508474576271186,1,134,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,89,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:58:20.228,1,118,1,PAV,29,0
3,4,0,0,1.2,1.20338983050847,NaN,119,NaN,119,2019-11-04,0,2,17:58:39.612,0.508474576271186,1,135,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,90,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:58:33.162,1,119,1,PAV,29,0
