ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,0,0,1.2,1.20338983050847,NaN,11,NaN,11,2019-10-04,0,2,16:13:04.460,0.508474576271186,1,10,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1,1.50847457627119,1,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:12:58.327,1,11,1,PAV,4,0
3,4,0,0,1.2,1.20338983050847,NaN,12,NaN,12,2019-10-04,0,2,16:13:17.946,0.508474576271186,1,12,0,NaN,ordered,1,100,NaN,pavlovian_paid,5,1,2,2,1.50847457627119,5,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:13:08.544,1,12,1,PAV,4,0
3,4,0,0,1.2,1.20338983050847,NaN,13,NaN,13,2019-10-04,0,2,16:13:30.596,0.508474576271186,1,13.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,4,1,1.5,1.5,1.50847457627119,4,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:13:22.044,1,13,1,PAV,4,0
3,4,0,0,1.2,1.20338983050847,NaN,14,NaN,14,2019-10-04,0,2,16:13:42.409,0.508474576271186,1,14.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,1,1,1.50847457627119,3,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:13:34.693,1,14,1,PAV,4,0
3,4,0,0,1.2,1.20338983050847,NaN,15,NaN,15,2019-10-04,0,2,16:13:52.627,0.508474576271186,1,14.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1.5,1.50847457627119,2,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:13:46.495,1,15,1,PAV,5,0
3,4,0,0,1.2,1.20338983050847,NaN,16,NaN,16,2019-10-04,0,2,16:14:04.393,0.508474576271186,1,15.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,1,1,1.50847457627119,3,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:13:56.728,1,16,1,PAV,5,0
3,4,0,0,1.2,1.20338983050847,NaN,17,NaN,17,2019-10-04,0,2,16:14:17.046,0.508474576271186,1,17,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,0.5,1.5,1.5,1.50847457627119,2,12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:14:08.495,1,17,1,PAV,5,0
3,4,0,0,1.2,1.20338983050847,NaN,18,NaN,18,2019-10-04,0,2,16:14:29.713,0.508474576271186,1,18.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,4,1,1.5,1.5,1.50847457627119,4,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:14:21.160,1,18,1,PAV,5,0
3,4,0,0,1.2,1.20338983050847,NaN,19,NaN,19,2019-10-04,0,2,16:14:39.963,0.508474576271186,1,18.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,2,1.50847457627119,5,13,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:14:33.811,1,19,1,PAV,6,0
3,4,0,0,1.2,1.20338983050847,NaN,20,NaN,20,2019-10-04,0,2,16:14:51.747,0.508474576271186,1,19.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,0.5,1,1,1.50847457627119,1,14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:14:44.076,1,20,1,PAV,6,0
3,4,0,0,1.2,1.20338983050847,NaN,21,NaN,21,2019-10-04,0,2,16:15:03.545,0.508474576271186,1,20.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,1,1,1.50847457627119,3,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:14:55.861,1,21,1,PAV,6,0
3,4,0,0,1.2,1.20338983050847,NaN,22,NaN,22,2019-10-04,0,2,16:15:16.309,0.508474576271186,1,22,0,NaN,ordered,1,100,NaN,pavlovian_paid,4,1,1.5,1.5,1.50847457627119,4,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:15:07.696,1,22,1,PAV,6,0
3,4,0,0,1.2,1.20338983050847,NaN,23,NaN,23,2019-10-04,0,2,16:15:26.616,0.508474576271186,1,22,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,2,1.50847457627119,5,16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:15:20.494,1,23,1,PAV,7,0
3,4,0,0,1.2,1.20338983050847,NaN,24,NaN,24,2019-10-04,0,2,16:15:38.426,0.508474576271186,1,23,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,0.5,1,1,1.50847457627119,1,17,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:15:30.728,1,24,1,PAV,7,0
3,4,0,0,1.2,1.20338983050847,NaN,25,NaN,25,2019-10-04,0,2,16:15:51.194,0.508474576271186,1,24.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,0.5,1.5,1.5,1.50847457627119,2,18,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:15:42.611,1,25,1,PAV,7,0
3,4,0,0,1.2,1.20338983050847,NaN,26,NaN,26,2019-10-04,0,2,16:16:03.846,0.508474576271186,1,26,0,NaN,ordered,1,100,NaN,pavlovian_paid,4,1,1.5,1.5,1.50847457627119,4,19,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:15:55.327,1,26,1,PAV,7,0
3,4,0,0,1.2,1.20338983050847,NaN,27,NaN,27,2019-10-04,0,2,16:16:14.180,0.508474576271186,1,26,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1,1.50847457627119,1,19,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:16:08.028,1,27,1,PAV,8,0
3,4,0,0,1.2,1.20338983050847,NaN,28,NaN,28,2019-10-04,0,2,16:16:25.993,0.508474576271186,1,27,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,1,1,1.50847457627119,3,20,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:16:18.311,1,28,1,PAV,8,0
3,4,0,0,1.2,1.20338983050847,NaN,29,NaN,29,2019-10-04,0,2,16:16:39.594,0.508474576271186,1,29,0,NaN,ordered,1,100,NaN,pavlovian_paid,5,1,2,2,1.50847457627119,5,21,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:16:30.129,1,29,1,PAV,8,0
