ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,1,1.2,1.2,1.2,NaN,64,0.668512214253545,57,2019-15-04,7,2,10:41:44.929,0.3,0.633333333333333,15.4,0,0.359968736708297,ordered,0,89.0625,NaN,lose,0,1,0,0.7,1.5,2,22,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:41:36.016,1,64,1,BDM,35,63.3588234547775
2.06666666666667,4,0.866496140338688,1.03979536840643,1.2,1.2,NaN,65,0.133503859661312,58,2019-15-04,7,2,10:41:58.037,0.483333333333333,1,15.75,0,0.298291028528268,ordered,1,89.2307692307692,NaN,win_paid,1,1,0.35,0.35,1.5,1,23,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:41:48.436,1,65,1,BDM,35,64.3986188231839
2.96666666666667,4,0.978444112796503,1.1741329353558,1.2,1.2,NaN,66,0.021555887203497,59,2019-15-04,7,2,10:42:12.042,0.416666666666667,1.01666666666667,16.8,0,0.328344949539774,ordered,1,89.3939393939394,NaN,win_paid,3,1,1.05,1.05,1.5,3,24,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:42:02.449,1,66,1,BDM,35,65.5727517585397
2,4,1,1.2,1.2,1.2,NaN,67,0.55984070587251,60,2019-15-04,7,2,10:42:25.447,0.3,1.5,16.8,0,0.295270076472811,ordered,0,89.5522388059701,NaN,lose,0,1,0,0.7,1.5,2,24,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:42:15.500,1,67,1,BDM,36,66.7727517585397
2.7,4,0.699180981930511,0.839017178316613,1.2,1.2,NaN,68,0.300819018069489,61,2019-15-04,7,2,10:42:38.754,0.383333333333333,0.5,17.85,0,0.548028896003021,ordered,1,89.7058823529412,NaN,win_paid,3,1,1.05,1.05,1.5,3,25,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:42:29.632,1,68,1,BDM,36,67.6117689368563
3.61666666666667,4,1,1.2,1.2,1.2,NaN,69,0.939409713873458,62,2019-15-04,7,2,10:42:53.864,0.466666666666667,1.45,17.85,0,0.24836814375152,ordered,0,89.8550724637681,NaN,lose,0,1,0,0.7,1.5,2,25,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:42:43.832,1,69,1,BDM,37,68.8117689368563
2.3,4,1,1.2,1.2,1.2,NaN,70,0.980903636046859,63,2019-15-04,7,2,10:43:07.497,0.466666666666667,1.36666666666667,17.85,0,0.471535944489782,ordered,0,90,NaN,lose,0,1,0,0.35,1.5,1,25,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:42:57.664,1,70,1,BDM,38,70.0117689368563
3.18333333333333,4,1,1.2,1.2,1.2,NaN,71,0.286620388894259,64,2019-15-04,7,2,10:43:21.863,0.3,1.05,17.85,0,0.264015249525794,ordered,0,90.1408450704225,NaN,lose,0,1,0,0.35,1.5,1,25,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:43:12.149,1,71,1,BDM,39,71.2117689368563
2.43333333333333,4,1,1.2,1.2,1.2,NaN,72,0.800820286951535,65,2019-15-04,7,2,10:43:35.880,0.416666666666667,1.5,17.85,0,0.410256524880973,ordered,0,90.2777777777778,NaN,lose,0,1,0,0.7,1.5,2,25,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:43:25.782,1,72,1,BDM,40,72.4117689368563
2.53333333333333,4,1,1.2,1.2,1.2,NaN,73,0.896111351432604,66,2019-15-04,7,2,10:43:49.447,0.3,0.95,17.85,0,0.509481146670508,ordered,0,90.4109589041096,NaN,lose,0,1,0,1.05,1.5,3,25,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:43:39.916,1,73,1,BDM,41,73.6117689368563
