y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
-136,0.346801545749534,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
-176,0.343829375298992,0,1,0,0.800211775468893,1,1.2,0.343829375298992,NaN,-0.15
432,0.24717895955861,0,1,0,0.466699930490126,2,1.2,0.24717895955861,NaN,-0.15
-736,0.851871319327728,1,0.471804213757638,3,0.528195786242362,3,0.566165056509165,0.851871319327728,NaN,0.75
58.0319355110844,0.248275862068966,0,1,0,0.846138694190308,1,1.2,0.248275862068966,NaN,-0.15
-56,0.767080268305903,1,0.647642369617007,1,0.352357630382993,1,0.777170843540409,0.767080268305903,NaN,0.15
600,0.271757051552843,0,1,0,0.617361280216954,2,1.2,0.271757051552843,NaN,-0.15
-224,0.372768079418642,0,1,0,0.591391088210679,3,1.2,0.372768079418642,NaN,-0.15
-216,0.737311943251569,0,1,0,0.909284717835545,1,1.2,0.737311943251569,NaN,-0.15
-320,0.473231252786729,1,0.916314832296212,2,0.0836851677037879,2,1.09957779875545,0.473231252786729,NaN,0.45
-184,0.33068730281696,1,0.98551436973493,1,0.0144856302650702,1,1.18261724368192,0.33068730281696,NaN,0.15
624,0.23332392054855,0,1,0,0.697801647606335,1,1.2,0.23332392054855,NaN,-0.15
344,0.531811842340244,0,1,0,0.605872781048833,2,1.2,0.531811842340244,NaN,-0.15
672,0.182068376165622,0,1,0,0.742548768000198,2,1.2,0.182068376165622,NaN,-0.15
176,0.3721485563046,1,0.890780910998954,1,0.109219089001046,1,1.06893709319874,0.3721485563046,NaN,0.15
8,0.224868261375043,1,0.904611991418102,3,0.0953880085818982,3,1.08553438970172,0.224868261375043,NaN,0.75
-443.091551437673,0.570114942528736,0,1,0,0.946915040055483,1,1.2,0.570114942528736,NaN,-0.15
120,0.498855398950908,0,1,0,0.579846590534939,2,1.2,0.498855398950908,NaN,-0.15
264,0.279581508131419,1,0.762050233278215,3,0.237949766721785,3,0.914460279933858,0.279581508131419,NaN,0.75
-88.6857884945357,0.110344827586207,0,1,0,0.838485415680859,3,1.2,0.110344827586207,NaN,-0.15
56,0.41589911596694,0,1,0,0.53929533025074,2,1.2,0.41589911596694,NaN,-0.15
-408.529523256966,0.542528735632184,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
-760,0.875634081557624,1,0.485710478098218,2,0.514289521901782,2,0.582852573717861,0.875634081557624,NaN,0.45
620.244218924049,0.229885057471264,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
48,0.757732487176544,0,1,0,0.785120789553242,3,1.2,0.757732487176544,NaN,-0.15
288,0.361084058757136,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
392,0.489013677128873,1,0.512141216772186,2,0.487858783227814,2,0.614569460126623,0.489013677128873,NaN,0.45
224,0.465715114591396,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
-226.720627136154,0.331034482758621,1,0.973108477991291,3,0.0268915220087093,3,1.16773017358955,0.331034482758621,NaN,0.75
368,0.560729808376258,1,0.961196525696688,2,0.0388034743033119,2,1.15343583083603,0.560729808376258,NaN,0.45
2.25323328609056,0.825287356321839,1,0.967064636643703,3,0.0329353633562973,3,1.16047756397244,0.825287356321839,NaN,0.75
