y_adjust,monkey_bid,remaining_budget,reward,computer_bid,offer_value,win,budget_liquid,reward_liquid,monkey_final_bid,task_failure
181.588324883864,0.183908045977011,1,0,0.428469811185546,2,0,1.2,-0.15,0.183908045977011,NaN
0,0.941970350210622,0.360921494514075,1,0.639078505485925,1,1,0.43310579341689,0.15,0.941970350210622,NaN
0,0.890969111134051,0.382409394241242,2,0.617590605758758,2,1,0.458891273089491,0.45,0.890969111134051,NaN
104,0.700315139591307,0.767999555741626,3,0.232000444258374,3,1,0.921599466889951,0.75,0.700315139591307,NaN
-680,0.785475117648269,1,0,0.841483677259185,2,0,1.2,-0.15,0.785475117648269,NaN
-136,0.400549328302331,0.639034149228952,1,0.360965850771048,1,1,0.766840979074742,0.15,0.400549328302331,NaN
0,0.383051276076628,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.996418199598853,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.747693005678292,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.423062924892789,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.916973139739707,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.829300815190003,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.642411462701199,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.181101186663959,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.0264092164203834,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.0839397446107388,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.0535920779084033,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.973513875677459,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.953171829421126,1,0,0.987724641012727,1,0,1.2,-0.15,0.953171829421126,NaN
8,0.536090714030352,1,0,0.855246735922108,3,0,1.2,-0.15,0.536090714030352,NaN
294.007022393607,0.119540229885057,0.947973272338946,3,0.0520267276610539,3,1,1.13756792680674,0.75,0.119540229885057,NaN
-392,0.738480055565732,1,0,0.945104514546024,1,0,1.2,-0.15,0.738480055565732,NaN
320,0.487974131034852,1,0,0.58982478233451,1,0,1.2,-0.15,0.487974131034852,NaN
-545.820022527507,0.917241379310345,0.719103201794745,1,0.280896798205255,1,1,0.862923842153694,0.15,0.917241379310345,NaN
-456,0.759874369035699,0.799769702622367,3,0.200230297377633,3,1,0.959723643146841,0.75,0.759874369035699,NaN
